2026-07-08T04:16:51+00:00 [vnseea_call_debug] type=live_create user_id=1 role=host status=200 post_id=4155 stream_name=rn_live_1_1783484210630 room_name=wowonder_live_rn_live_1_1783484210630 ws_url=wss://livekit.hisotechgroup.vn started_at=1783484211
2026-07-10T08:58:33+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:33+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:33+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:34+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:35+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:35+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:35+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:36+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:37+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:37+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:37+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:38+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:39+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:39+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:39+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:40+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:41+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:41+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:42+00:00 [vnseea_call_debug] type=answer call_id=1402 call_type=audio actor_id=1 affected_rows=1 already_answered=1 status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=0 elapsed_ms=211
2026-07-10T08:58:42+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=0 elapsed_ms=494
2026-07-10T08:58:42+00:00 [vnseea_call_debug] type=payload user_id=5 call_id=1402 call_type=audio raw_room_name=18ed4f1d10de9c3b7b134664994c6ad361d2787e livekit_room=wowonderecf78a78baa0522bd402606a3ed64674 token_room=wowonderecf78a78baa0522bd402606a3ed64674 status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=0 elapsed_ms=587 ws_url=wss://livekit.hisotechgroup.vn
2026-07-10T08:58:44+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=2 elapsed_ms=2101
2026-07-10T08:58:45+00:00 [vnseea_call_debug] type=payload user_id=1 call_id=1402 call_type=audio raw_room_name=18ed4f1d10de9c3b7b134664994c6ad361d2787e livekit_room=wowonderecf78a78baa0522bd402606a3ed64674 token_room=wowonderecf78a78baa0522bd402606a3ed64674 status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=3 elapsed_ms=3085 ws_url=wss://livekit.hisotechgroup.vn
2026-07-10T08:58:45+00:00 [vnseea_call_debug] type=check user_id=1 call_id=1402 call_type=audio status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=3 elapsed_ms=3111
2026-07-10T08:58:45+00:00 [vnseea_call_debug] type=check user_id=1 call_id=1402 call_type=audio status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=3 elapsed_ms=3136
2026-07-10T08:58:45+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=3 elapsed_ms=3746
2026-07-10T08:58:46+00:00 [vnseea_call_debug] type=check user_id=1 call_id=1402 call_type=audio status=answered active=1 started_at=1783673922 started_at_ms=1783673922000 elapsed=4 elapsed_ms=4929
2026-07-10T08:58:47+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=answered active=1 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:49+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=answered active=1 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
